name,level,division,conference,state,city,athletics_url
Moravian University,college,NCAA_D3,Landmark Conference,PA,Bethlehem,
Morehead State University,college,NCAA_D1_FCS,Ohio Valley Conference,KY,Morehead,
Morehouse College,college,NCAA_D2,Southern Intercollegiate Athletic Conference,GA,Atlanta,
Morgan State University,college,NCAA_D1_FCS,Mid-Eastern Athletic Conference,MD,Baltimore,
Morningside University,college,NAIA,Great Plains Athletic Conference,IA,Sioux City,
Morris College,college,NAIA,Continental Athletic Conference,SC,Sumter,
Mount Aloysius College,college,NCAA_D3,Allegheny Mountain Collegiate Conference,PA,Cresson,
Mount Holyoke College,college,NCAA_D3,New England Women's and Men's Athletic Conference,MA,South Hadley,
Mount Marty University,college,NAIA,Great Plains Athletic Conference,SD,Yankton,
Mount Mary University,college,NAIA,Chicagoland Collegiate Athletic Conference,WI,Milwaukee,
Mount Mercy University,college,NAIA,Heart of America Athletic Conference,IA,Cedar Rapids,
Mount Saint Mary College,college,NCAA_D3,Skyline Conference,NY,Newburgh,
Mount Saint Mary's University,college,NCAA_D1,Metro Atlantic Athletic Conference,MD,Emmitsburg,
Mount St. Joseph University,college,NCAA_D3,Heartland Collegiate Athletic Conference,OH,Cincinnati,
Mount Vernon Nazarene University,college,NAIA,Crossroads League,OH,Mount Vernon,
Muhlenberg College,college,NCAA_D3,Centennial Conference,PA,Allentown,
Murray State University,college,NCAA_D1_FCS,Missouri Valley Conference,KY,Murray,
Muskingum University,college,NCAA_D3,Ohio Athletic Conference,OH,New Concord,
Nazareth University,college,NCAA_D3,Empire 8,NY,Pittsford,
Nebraska Wesleyan University,college,NCAA_D3,American Rivers Conference,NE,Lincoln,
Nelson University,college,NAIA,Sooner Athletic Conference,TX,Waxahachie,
Neumann University,college,NCAA_D3,Atlantic East Conference(MAC Commonwealthin 2026.),PA,Aston,
New College of Florida,college,NAIA,Sun Conference,FL,Sarasota,
New England College,college,NCAA_D3,Great Northeast Athletic Conference,NH,Henniker,
New Jersey City University,college,NCAA_D3,New Jersey Athletic Conference,NJ,Jersey City,
New Jersey Institute of Technology,college,NCAA_D1,America East Conference,NJ,Newark,
New Mexico Highlands University,college,NCAA_D2,Rocky Mountain Athletic Conference,NM,Las Vegas,
New Mexico State University,college,NCAA_D1_FBS,Conference USA,NM,Las Cruces,
Newberry College,college,NCAA_D2,South Atlantic Conference,SC,Newberry,
Newman University,college,NCAA_D2,Mid-America Intercollegiate Athletics Association,KS,Wichita,
Niagara University,college,NCAA_D1,Metro Atlantic Athletic Conference,NY,Niagara University,
Nicholls State University,college,NCAA_D1_FCS,Southland Conference,LA,Thibodaux,
Nichols College,college,NCAA_D3,Conference of New England,MA,Dudley,
Norfolk State University,college,NCAA_D1_FCS,Mid-Eastern Athletic Conference,VA,Norfolk,
North American University,college,NAIA,Red River Athletic Conference,TX,Stafford,
North Carolina Agricultural and Technical State University,college,NCAA_D1_FCS,Coastal Athletic Association,NC,Greensboro,
North Carolina Central University,college,NCAA_D1_FCS,Mid-Eastern Athletic Conference,NC,Durham,
North Carolina State University,college,NCAA_D1_FBS,Atlantic Coast Conference,NC,Raleigh,
North Carolina Wesleyan University,college,NCAA_D3,USA South Athletic Conference,NC,Rocky Mount,
North Central College,college,NCAA_D3,College Conference of Illinois and Wisconsin,IL,Naperville,
North Central University,college,NCAA_D3,Upper Midwest Athletic Conference,MN,Minneapolis,
